facilityID,X22.2060,X22.6285,X22.6290,X22.8500,X22.8505,X22.8506,X22.6430,X22.6435,X22.6440,X22.7090,X22.7095,X22.6300,X22.6305,X22.6420,X22.6425,X21.6265,X21.6270,X21.6275,X21.6280,X21.6285,X21.6290,X21.6350,X21.6355,X21.8500,X21.8505,X21.8506,X21.6230,X21.6235,X21.6240,X21.6245,X21.6250,X21.6255,X21.6260,X21.6570,X21.6575,X21.7060,X21.7070,X21.7075,X19.2060,X19.6100,X19.6105,X19.6140,X19.6145,X19.6150,X19.6155,X19.6160,X19.6165,X19.6265,X19.6270,X19.6275,X19.6280,X19.6285,X19.6290,X19.6325,X19.6350,X19.6355,X19.6400,X19.6405,X19.8500,X19.8505,X19.8506,X19.6110,X19.6115,X19.6120,X19.6125,X19.6200,X19.6205,X19.6130,X19.6135,X20.6100,X20.6105,X20.6140,X20.6145,X20.6265,X20.6270,X20.6275,X20.6280,X20.6325,X20.8500,X20.8505,X20.8506,X20.6110,X20.6115,X20.6120,X20.6125,X20.6200,X20.6205,X20.6130,X20.6135,X31.8500,X31.8505,X31.8506,X31.6770,X31.6775,X31.6790,X31.6795,X31.6810,X31.6815,X24.2060,X24.8500,X24.8505,X24.8506,X24.4020,X24.4025,X24.4040,X24.8020,X24.8030,X24.8035,X24.9210,X24.9215,X24.4045,X24.8025,X25.8506,X25.6000,X25.6005,X25.6010,X25.6015,X25.6020,X25.6025,X25.6030,X25.6031,X25.6033,X25.6035,X25.6040,X25.6046,X25.6060,X25.7100
X144267,1,0.007363469,0.007363469,0.995704643,1,0.998465944,0.126508488,0.126508488,0.126508488,0,0,0,0,0,0,0.000511352,0.000511352,0.000511352,0.000511352,0.007363469,0.007363469,0.008692984,0.008692984,0.995704643,1,0.998465944,0.023829004,0.001840867,0.001840867,0.004499898,0.004499898,0.00255676,0.00255676,0.001534056,0.001534056,0.023829004,0.306504398,0.306504398,1,0.000409082,0.000409082,0.000306811,0.000306811,0.007056658,0.007056658,0.008283903,0.008283903,0.000511352,0.000511352,0.000511352,0.000511352,0.007363469,0.007363469,1,0.008692984,0.008692984,0.011147474,0.011147474,0.995704643,1,0.998465944,0.024135815,0.024135815,0.273573328,0.273573328,0,0,0,0,0.000409082,0.000409082,0.000306811,0.000306811,0.000511352,0.000511352,0.000511352,0.000511352,1,0.995704643,1,0.998465944,0.024135815,0.024135815,0.273573328,0.273573328,0,0,0,0,0.995704643,1,0.998465944,0,0,0,0,0,0,0.619860912,0.618224586,0.619860912,0.618429127,0.261812232,0.261812232,0,0,0.006954387,0.006954387,0.030169769,0.030169769,0.00010227,0.00010227,0.618429127,0.004908979,0.004908979,0.012272448,0.012272448,0.189507057,0.189507057,0,0,0.001022704,0.001022704,0.189507057,0.189507057,0.618122315,0.001022704
X128128,1,0.008114105,0.008114105,0.976038035,1,0.414453249,0.110808241,0.110808241,0.110808241,0.02770206,0.02770206,0,0,0,0,0.000697306,0.000697306,0.000507132,0.000507132,0.008114105,0.008114105,0,0,0.976038035,1,0.414453249,0.025293185,0.000697306,0.000697306,0.004881141,0.004881141,0.000950872,0.000950872,0.021616482,0.021616482,0.025293185,0.502757528,0.502757528,1,0.015340729,0.015340729,6.33914E-05,6.33914E-05,0.001077655,0.001077655,0.064469097,0.064469097,0.000697306,0.000697306,0.000507132,0.000507132,0.008114105,0.008114105,1,0,0,0.00614897,0.00614897,0.976038035,1,0.414453249,0.44659271,0.44659271,0.160380349,0.160380349,0.038732171,0.038732171,0,0,0.015340729,0.015340729,6.33914E-05,6.33914E-05,0.000697306,0.000697306,0.000507132,0.000507132,1,0.976038035,1,0.414453249,0.44659271,0.44659271,0.160380349,0.160380349,0.038732171,0.038732171,0,0,0.976038035,1,0.414453249,0,0,0,0,0,0,0.317083994,0.310998415,0.317083994,0.158288431,0.000316957,0.000316957,0,0,0.006275753,0.006275753,0.024469097,0.024469097,6.33914E-05,6.33914E-05,0.158288431,0.004437401,0.004437401,0.003930269,0.003930269,0.23385103,0.23385103,0.001711569,0.001711569,0.001267829,0.001267829,0.211220285,0.211220285,0.310998415,0.001267829
X59229,1,0.015582457,0.015582457,0.978469401,1,1,0.168851841,0.168851841,0.168851841,0.000125665,0.000125665,0,0,0,0,0.001172873,0.001172873,0.000921543,0.000921543,0.015582457,0.015582457,0.087211494,0.087211494,0.978469401,1,1,0.047585138,0.001801198,0.001801198,0.00800067,0.00800067,0.000544548,0.000544548,0.011435513,0.011435513,0.047585138,0.263980229,0.263980229,1,0.012985381,0.012985381,8.37767E-05,8.37767E-05,0.054454823,0.054454823,0.04578394,0.04578394,0.001172873,0.001172873,0.000921543,0.000921543,0.015582457,0.015582457,1,0.087211494,0.087211494,0.008293888,0.008293888,0.978469401,1,1,0,0,0,0,0,0,0,0,0.012985381,0.012985381,8.37767E-05,8.37767E-05,0.001172873,0.001172873,0.000921543,0.000921543,1,0.978469401,1,1,0,0,0,0,0,0,0,0,0.978469401,1,1,0.028986721,0.028986721,0.028986721,0.028986721,0.029405605,0.000460772,0.718594228,0.707200603,0.718594228,0.718594228,0.031206803,0.031206803,4.18883E-05,4.18883E-05,0.015289239,0.015289239,0.059439534,0.059439534,0,0,0.718594228,0.008670883,0.008670883,0.007456122,0.007456122,0.598542286,0.598542286,0.092154317,0.092154317,0.029573158,0.029573158,0.598542286,0.598542286,0.707200603,0.029573158
X308631,1,0.001953125,0.001953125,0.951171875,1,0,0,0,0,0,0,0,0,0,0,0.00390625,0.00390625,0.001953125,0.001953125,0.001953125,0.001953125,0,0,0.951171875,1,0,0.0390625,0,0,0.00390625,0.00390625,0,0,0.046875,0.046875,0.0390625,0,0,1,0.0390625,0.0390625,0,0,0,0,0.072265625,0.072265625,0.00390625,0.00390625,0.001953125,0.001953125,0.001953125,0.001953125,1,0,0,0.009765625,0.009765625,0.951171875,1,0,0,0,0,0,0,0,0,0,0.0390625,0.0390625,0,0,0.00390625,0.00390625,0.001953125,0.001953125,1,0.951171875,1,0,0,0,0,0,0,0,0,0,0.951171875,1,0,0,0,0,0,0.00390625,0.00390625,0.8203125,0.78515625,0.8203125,0,0,0,0,0,0.001953125,0.001953125,0.021484375,0.021484375,0,0,0,0.0078125,0.0078125,0.03515625,0.03515625,0,0,0,0,0,0,0,0,0.78515625,0
X94515,0.998846681,0.030130469,0.030130469,0.996972537,1,1,0.083255244,0.083255244,0.083255244,0.034887912,0.034887912,0.015353564,0.015353564,0.008721978,0.008721978,0.00057666,0.00057666,7.20825E-05,7.20825E-05,0.030130469,0.030130469,0,0,0.996972537,1,1,0.131190081,0.008217401,0.008217401,0.024508037,0.024508037,0.030779211,0.030779211,0.142362863,0.142362863,0.131190081,0.10978159,0.10978159,0.998846681,0.064297556,0.064297556,0.00086499,0.00086499,0,0,0.167880055,0.167880055,0.00057666,0.00057666,7.20825E-05,7.20825E-05,0.030130469,0.030130469,1,0,0,0.024796367,0.024796367,0.996972537,1,1,0.357024436,0.357024436,0.027319253,0.027319253,0,0,0,0,0.064297556,0.064297556,0.00086499,0.00086499,0.00057666,0.00057666,7.20825E-05,7.20825E-05,1,0.996972537,1,1,0.357024436,0.357024436,0.027319253,0.027319253,0,0,0,0,0.996972537,1,1,0.0427449,0.0427449,0.0427449,0.0427449,0.044907374,0.011172782,0.662798241,0.661428674,0.663230736,0.663230736,0.1006992,0.1006992,0.01052404,0.01052404,0.020327254,0.020327254,0.079939451,0.079939451,7.20825E-05,7.20825E-05,0.663230736,0.049160239,0.049160239,0.037122468,0.037122468,0,0,0,0,0,0,0,0,0.661428674,0
X308633,1,0.000281294,0.000281294,0.943459916,1,0,0,0,0,0,0,0,0,0,0,0.003375527,0.003375527,0.003375527,0.003375527,0.000281294,0.000281294,0,0,0.943459916,1,0,0.054289733,0.005063291,0.005063291,0.018284107,0.018284107,0.000843882,0.000843882,0.036005626,0.036005626,0.054289733,0,0,1,0.023909986,0.023909986,0.001125176,0.001125176,0,0,0.081575246,0.081575246,0.003375527,0.003375527,0.003375527,0.003375527,0.000281294,0.000281294,1,0,0,0.001969058,0.001969058,0.943459916,1,0,0,0,0,0,0,0,0,0,0.023909986,0.023909986,0.001125176,0.001125176,0.003375527,0.003375527,0.003375527,0.003375527,1,0.943459916,1,0,0,0,0,0,0,0,0,0,0.943459916,1,0,0,0,0,0,0.010126582,0.010126582,0.458509142,0.443881857,0.458509142,0,0,0,0,0,0.000281294,0.000281294,0.030942335,0.030942335,0,0,0,0.001125176,0.001125176,0.044725738,0.044725738,0,0,0,0,0,0,0,0,0.443881857,0
X193768,1,0.002764259,0.002764259,0.975073,1,0.787755499,0.143955616,0.143955616,0.143955616,0.005168386,0.005168386,0,0,0,0,0.001742262,0.001742262,0.001528129,0.001528129,0.002764259,0.002764259,0.171452209,0.171452209,0.975073,1,0.787755499,0.047956005,0.00370839,0.00370839,0.008302511,0.008302511,0.002696126,0.002696126,0.02121861,0.02121861,0.047956005,0.55626825,0.55626825,1,0.013324898,0.013324898,0.00111933,0.00111933,0.203630524,0.203630524,0.042028421,0.042028421,0.001742262,0.001742262,0.001528129,0.001528129,0.002764259,0.002764259,1,0.171452209,0.171452209,0.050535332,0.050535332,0.975073,1,0.787755499,0.404195055,0.404195055,0.330698851,0.330698851,0,0,0.000408799,0.000408799,0.013324898,0.013324898,0.00111933,0.00111933,0.001742262,0.001742262,0.001528129,0.001528129,1,0.975073,1,0.787755499,0.404195055,0.404195055,0.330698851,0.330698851,0,0,0.000408799,0.000408799,0.975073,1,0.787755499,0.094870547,0.094870547,0.094870547,0.094870547,0.095561612,0.00126533,0.341532023,0.335302706,0.341532023,0.276474596,0.072999805,0.072999805,1.94666E-05,1.94666E-05,0.001956395,0.001956395,0.025559665,0.025559665,3.89332E-05,3.89332E-05,0.276474596,0.004107456,0.004107456,0.00364999,0.00364999,0.182879112,0.182879112,0.007981312,0.007981312,0.020663812,0.020663812,0.182879112,0.182879112,0.335302706,0.020663812
X70677,0.999750787,0.021837326,0.021837326,0.962399925,1,0.913180275,0.094545341,0.094545341,0.094545341,0.01800567,0.01800567,0.007507554,0.007507554,0.014703592,0.014703592,0.001806797,0.001806797,0.001028005,0.001028005,0.021837326,0.021837326,0.020684714,0.020684714,0.962399925,1,0.913180275,0.027693841,0.000404972,0.000404972,0.00816174,0.00816174,0.006853369,0.006853369,0.027070808,0.027070808,0.027693841,0.625463381,0.625463381,0.999750787,0.063300209,0.063300209,0.000155758,0.000155758,0.117753341,0.117753341,0.055574593,0.055574593,0.001806797,0.001806797,0.001028005,0.001028005,0.021837326,0.021837326,1,0.020684714,0.020684714,0.00613688,0.00613688,0.962399925,1,0.913180275,0.713498022,0.713498022,0.200274135,0.200274135,0.25718825,0.25718825,0,0,0.063300209,0.063300209,0.000155758,0.000155758,0.001806797,0.001806797,0.001028005,0.001028005,1,0.962399925,1,0.913180275,0.713498022,0.713498022,0.200274135,0.200274135,0.25718825,0.25718825,0,0,0.962399925,1,0.913180275,0,0,0,0,0.002149466,0.002149466,0.573003956,0.55895455,0.57325317,0.52646335,0.079125261,0.079125261,0,0,0.009999688,0.009999688,0.026042802,0.026042802,3.11517E-05,3.11517E-05,0.52646335,0.005825364,0.005825364,0.00576306,0.00576306,0.505404816,0.505404816,0.070807763,0.070807763,0.003021713,0.01021775,0.518177004,0.518177004,0.518800037,0.01021775
X70677,1,0.014407107,0.014407107,0,0,0.989687138,0,0,0,0,0,0,0,0,0,0.004943994,0.004943994,0.001776748,0.001776748,0.014407107,0.014407107,0,0,0,0,0.989687138,0.053495558,0.003128621,0.003128621,0.014909231,0.014909231,0.001506373,0.001506373,0.046774817,0.046774817,0.053495558,0,0,1,0.047508691,0.047508691,0.000579374,0.000579374,0,0,0.134105832,0.134105832,0.004943994,0.004943994,0.001776748,0.001776748,0.014407107,0.014407107,0,0,0,0.026149092,0.026149092,0,0,0.989687138,0,0,0,0,0,0,7.72499E-05,7.72499E-05,0.047508691,0.047508691,0.000579374,0.000579374,0.004943994,0.004943994,0.001776748,0.001776748,0,0,0,0.989687138,0,0,0,0,0,0,7.72499E-05,7.72499E-05,0,0,0.989687138,0,0,0,0,0.006373117,0.006373117,0.736732329,0,0,0.730706837,0.000656624,0.000656624,0,0,0.013286983,0.013286983,0.062649672,0.062649672,3.8625E-05,3.8625E-05,0.730706837,0.009192739,0.009192739,0.007454616,0.007454616,0,0,0,0,0,0,0,0,0.704828119,0
X201305,1,0.011273526,0.011273526,0,0,0.986576861,0,0,0,0,0,0,0,0,0,0.003152766,0.003152766,0.000955384,0.000955384,0.011273526,0.011273526,0,0,0,0,0.986576861,0.05531671,0.002388459,0.002388459,0.010413681,0.010413681,0.00114646,0.00114646,0.048724563,0.048724563,0.05531671,0,0,1,0.047530333,0.047530333,0.000429923,0.000429923,0,0,0.159214675,0.159214675,0.003152766,0.003152766,0.000955384,0.000955384,0.011273526,0.011273526,0,0,0,0.018295596,0.018295596,0,0,0.986576861,0,0,0,0,0,0,0,0,0.047530333,0.047530333,0.000429923,0.000429923,0.003152766,0.003152766,0.000955384,0.000955384,0,0,0,0.986576861,0,0,0,0,0,0,0,0,0,0,0.986576861,0,0,0,0,0.005588994,0.005588994,0.72408522,0,0,0.716489921,0.001050922,0.001050922,0,0,0.009935989,0.009935989,0.05995032,0.05995032,9.55384E-05,9.55384E-05,0.716489921,0.013136524,0.013136524,0.009267221,0.009267221,0,0,0.000143308,0.000143308,0,0,0,0,0.700869399,0
