elementID,X172216,X308621,X104198,X308622,X104203,X198042,X203791,X203338,X346698,X346695,X144267,X128128,X59229,X308631,X94515,X308633,X193768,X70677,X201301,X201301,X346692,X104223,X104225,X104200,X67858,X240014,X193774,X308635,X140851,X203310
X19.6165,0.040166205,0.01492767,1,0.066943675,0.6611265,0.183594952,0.43151739,0.737457679,0.034010465,0.094028932,0.012465374,0.156509695,0.168205602,0.00569406,0.358417975,0.044629117,0.664512158,0.274546014,0.534318252,0.512927054,0.00307787,0.608956602,0.417359187,0.609110496,0.012003693,0.002770083,0.424746076,0.046321945,0.034933826,0.003693444
X19.6265,0.006587615,0.005928854,0.028985507,0.057312253,0.028985507,0.022397892,1,0.055335968,0.006587615,0.032938076,0.003293808,0.007246377,0.018445323,0.001317523,0.005270092,0.007905138,0.117918314,0.038208169,0.084321476,0.043478261,0,0.019762846,0.007905138,0.042819499,0.006587615,0.000658762,0.100790514,0.016469038,0.000658762,0.003952569
X19.6270,0.006587615,0.005928854,0.028985507,0.057312253,0.028985507,0.022397892,1,0.055335968,0.006587615,0.032938076,0.003293808,0.007246377,0.018445323,0.001317523,0.005270092,0.007905138,0.117918314,0.038208169,0.084321476,0.043478261,0,0.019762846,0.007905138,0.042819499,0.006587615,0.000658762,0.100790514,0.016469038,0.000658762,0.003952569
X19.6275,0.025477707,0.044585987,0.159235669,0.401273885,0.159235669,0.159235669,0.732484076,0.50955414,0,0.184713376,0.031847134,0.050955414,0.140127389,0.006369427,0.006369427,0.076433121,1,0.210191083,0.292993631,0.127388535,0,0.127388535,0.057324841,0.292993631,0.050955414,0.006369427,0.872611465,0.076433121,0.006369427,0.038216561
X19.6280,0.025477707,0.044585987,0.159235669,0.401273885,0.159235669,0.159235669,0.732484076,0.50955414,0,0.184713376,0.031847134,0.050955414,0.140127389,0.006369427,0.006369427,0.076433121,1,0.210191083,0.292993631,0.127388535,0,0.127388535,0.057324841,0.292993631,0.050955414,0.006369427,0.872611465,0.076433121,0.006369427,0.038216561
X19.6285,0.00462606,0,1,0.000192753,0.104343356,0.008738114,0.01227191,0.112246209,6.43E-05,6.43E-05,0.00462606,0.008224107,0.023901311,6.43E-05,0.026856849,6.43E-05,0.018247237,0.045039836,0.023965562,0.015163197,0.000192753,0.350616808,0.245245438,0.382163968,0.013621177,0.003276793,0.008288358,0.000642508,0.001220766,0.001220766
X19.6290,0.00462606,0,1,0.000192753,0.104343356,0.008738114,0.01227191,0.112246209,6.43E-05,6.43E-05,0.00462606,0.008224107,0.023901311,6.43E-05,0.026856849,6.43E-05,0.018247237,0.045039836,0.023965562,0.015163197,0.000192753,0.350616808,0.245245438,0.382163968,0.013621177,0.003276793,0.008288358,0.000642508,0.001220766,0.001220766
X19.6325,0.363152199,0.009484425,0.47607637,0.036917369,0.383891165,0.095756358,0.173958414,0.395369869,0.014732937,0.058158769,0.075581665,0.12193708,0.184532736,0.003957641,0.107235062,0.027479323,0.794156296,0.248133261,0,0,0.003014609,0.347746773,0.210929891,0.288343511,1,0.069034552,0.45648914,0.052678364,0.019625879,0.156512329
X19.6350,0.001759864,0,0.039227931,0,0.028725518,0,0.247402782,0,0,0,0.004825433,0,0.11819472,0,0,0,1,0.037695146,0,0,0,0.023218848,0.004087425,0.008799319,0.026341186,0,0.87891002,0,0.000283849,0.031450468
X19.6355,0.001759864,0,0.039227931,0,0.028725518,0,0.247402782,0,0,0,0.004825433,0,0.11819472,0,0,0,1,0.037695146,0,0,0,0.023218848,0.004087425,0.008799319,0.026341186,0,0.87891002,0,0.000283849,0.031450468
